Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?
0QODBNP,WVg46j,6/1/2025 12:14,rec5ytJsv2fVRaUw0,1,,,No,,,,,,,,,
gDGkdyJ,XPgj64,6/1/2025 12:16,rec8YF7qX8bVimBes,4,,,No,Yes,Yes,"No, I have never looked for customer care",No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
xXYlDrv,jApKVR,6/1/2025 12:18,rechEYPDAfO6IuJV3,1,,,No,No,Yes,"No, I have never looked for customer care",The phone keeps hanging when I pay it takes a while to unlock,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,Reach out via calls to know the problems clients are experiencing this is not it coz I don't know whether my issue will reach the right people nor will it be resolved.
kDoOge,Bl8Qe1,6/1/2025 12:18,recVcN06YzUKprmGu,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
Y5axGA5,D6YQ5q,6/1/2025 12:20,recTnbPc0jkdwZpR1,10,,,Yes,No,,,,,,,,
Xx0242O,x5oK85,6/1/2025 12:25,recxkvima1bANyixb,9,,,,,,,,,,,,
GxlQlbp,RygEVJ,6/1/2025 12:34,recZVt4WMRjR7oj5r,6,,,Yes,Yes,Yes,"No, I have never looked for customer care",Not really,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Not really
RGPVPOK,x5oOEk,6/1/2025 12:36,recU0qivR2lOapJvx,0,,,No,No,No,Yes,"The phone is draining power and goes off at 30%
 Tried to return it, I was told to take it back and think twice. 
 I am not getting the value of this phone.",,,,,
KY1alQV,rMpzMo,6/1/2025 12:36,recCdPRsJ04oNbXKh,9,,,Yes,Yes,No,No,None,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,My phone is having battery issues
gDGkMgO,lk5P6p,6/1/2025 12:40,recv0KO26Y0VHRKAI,8,,,Yes,Yes,No,No,,,,,,
VLJ40Ej,2GZMOD,6/1/2025 12:42,recKgeniqPWhXVWZ0,9,,,Yes,Yes,,,,,,,,
44B4pNA,W6Z1Ze,6/1/2025 12:50,recZvlBekJx2RHaUz,10,,,Yes,Yes,No,No,Discount,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,Yes,??
QKVOABp,g6pyLK,6/1/2025 12:52,recD9uiUwqwREyNPi,10,,,Yes,Yes,Yes,Yes,,,,,,
ODGo0l7,oLQ6KM,6/1/2025 13:03,rec9fGgLATCkkYLgj,9,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,Yes,No
5Bxp2Lv,g6rjgJ,6/1/2025 13:05,recU5Opqm8KSExByC,6,,,No,Yes,Yes,Yes,",,,,,,,,,,,,,,,,,,",,,,,
GxlQDJp,E7Yk94,6/1/2025 13:18,rec5wICPVXjuHrWmL,7,,,Yes,No,No,"No, I have never looked for customer care",Nothing,No,"No, I have never used it",Reach Out via a Sales Agent,,
eqQ9Dlk,bRAZQ0,6/1/2025 13:20,recZ0j9B1mCwLwRMP,10,,,Yes,Yes,Yes,No,No,No,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,No,No
J9dkYgK,DoGrxX,6/1/2025 13:20,recHOOLkShutfpEbN,6,,,Yes,Yes,Yes,No,My phone wasn't unlocked when I made the payment...normally the phone was unlocked 7 days after I make payment know the days are reduced to 5days...how so manh with this kasongos economy,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Just check on that
81z1oZl,ZAQONy,6/1/2025 13:22,recIXGQq3Ik0Sq2Cx,5,,,No,Yes,No,"No, I have never looked for customer care",1,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,The phone battery is wanting. Can't last even half a day. And the phone heats up often lying. I have to stay with a dump cloth to keep it cool.
Bz72QlY,1o5Web,6/1/2025 13:29,recECEYNiXDMfy3MY,10,,,Yes,Yes,No,Yes,I had travelled out of the country I was unable to use my phone acces internet in China coz it did not accept VPN,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,Good job
2EPDbLA,jA2ZOY,6/1/2025 13:40,rechUCf4NoXYTOQlB,10,,,Yes,Yes,No,No,"No difficulties whatsoever. Loved everything, from the device quality to the service .",No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Great product and service
2EPDlVL,z5vMN8,6/1/2025 14:05,recinpaesjmF7dDjt,10,,,Yes,Yes,No,Yes,You need to upgrade to a 24hrs customer care service,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Make your customers happy.NB: a happy customer will refer more customers.Thank you
A7vjjxW,KKyxR7,6/1/2025 14:10,recbzR5i5H8YBWUct,8,,,Yes,Yes,No,No,No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,The only issue is that the
vGYdd8Q,KKyxR7,6/1/2025 14:10,recbzR5i5H8YBWUct,8,,,Yes,Yes,No,No,No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,The only issue is that the phone can only hold one simcard
Bz720P7,2G5K5L,6/1/2025 14:19,recnCu5gx68Mie3WN,0,,,No,No,,,,,,,,
yPYdGq0,rMWA7l,6/1/2025 14:43,recy2zBDo0kA05Che,5,,,Yes,Yes,Yes,No,,,,,,
2EPDZXe,E7YQel,6/1/2025 14:43,recQLPIPGzBYu5INO,10,,,Yes,Yes,No,No,No challenges,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,..
PdOGeMB,rMWlk2,6/1/2025 15:03,recT97PN9HAxAtbMH,6,,,Yes,No,No,Yes,Why give me 3day extension then switch the device off after one day and you switch it off working hours thus one cant get help,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
68NpYKN,BW51MA,6/1/2025 15:15,recq2gbpHBGFOHsp2,10,,,Yes,Yes,No,"No, I have never looked for customer care",I have never faced any difficulties as your customer,Yes,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,No,Nope
vGYd9e4,KKyD4M,6/1/2025 15:37,rec2nkcjtNuETMV42,6,,,Yes,Yes,,,,,,,,
obDb54e,qqNvdY,6/1/2025 15:52,rec1tkmUdsfoPQS7O,3,,,No,No,Yes,Yes,"I have cleared my loan and up to now u have not removed your nouva application.i have been sending u sms several times and u never responded to my sms u asked me to provide phone ID. I did so but u have yet still not deactivated your application.kindly respond to my need my names peter wandera, account 33951811.phone id.Am not happy at all",Yes,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,Yes,I just want your app removed from my phone period
VLJ4gxN,g6rQVM,6/1/2025 16:07,recXGrNZ6a89D59WM,6,,,Yes,Yes,No,No,N/A,No,"No, I have never used it",Free SMS – 25044,No,N/A
PdOGajV,4VdPDb,6/1/2025 16:14,recwiNYlykN8yWnhb,4,,,,,,,,,,,,
ODGk70p,z5vgEE,6/1/2025 17:21,recNI35C6TILPh98S,1,,,Yes,No,,,,,,,,
Gxl5z1O,y5kk90,6/1/2025 17:35,recT5wfqBJ9OEFCbJ,8,,,Yes,Yes,Yes,Yes,,,,,,
yPYz0ad,0R50N0,6/1/2025 18:29,recqzaEwIrfgu9ifO,10,,,Yes,Yes,No,No,G,No,"Yes, and I am satisfied with the MoApp",MoPhones App,,
KY5rOYA,OqM8op,6/1/2025 18:58,recUgEE87JHYNKuJ9,10,,,Yes,Yes,No,No,B0,,,,,
KYeQRO8,oZzjD1,6/1/2025 19:19,rec6KPHmirSPhQNn6,4,,,Yes,No,Yes,No,,,,,,
rjPvpEp,Ae5kYo,6/1/2025 19:29,recWzwwUKXtDCJg0d,,,,Yes,,,,,,,,,
kdErbOr,9jy884,6/2/2025 4:37,recOZoJLSbt2WWKxO,9,,,Yes,Yes,No,No,NA,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,NA
dWdRk0y,D6E7yZ,6/2/2025 7:14,recMM20ovr8fzeKMB,10,,,Yes,Yes,Yes,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
9qQrypG,Ry644d,6/2/2025 8:02,rec2VmtmTLcFRIqJu,0,,,No,No,Yes,Yes,Closing office early,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Introduce daily payments.
RGP2gN4,BWVvQR,6/2/2025 12:15,reciATW4sXjkZ6u2y,7,,,Yes,Yes,No,No,I'm just asking about the referral cause I'm already having to referral & I'm expecting another one on Friday so are they accountable in payments,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Is about the referral cause you said when you bring a referral you pay for one week payment
eqRjqDJ,XPAoBj,6/3/2025 2:10,recoL7Nev6OtG283P,8,,,Yes,Yes,No,No,N/A,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,N/A
rjPb7vR,ZrkAav,6/3/2025 7:35,recE0zfRcxVGMbxIS,5,,,Yes,No,Yes,Yes,Having phone shut out despite payment being made and your customer care not being a 24hour service,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,"Your repair team are not tourer. Everytime I've brought my phone for repair, they mess with something else."
Gxla0A2,E7V4Z2,6/3/2025 9:25,recHpSTKruLZylEJJ,10,,,Yes,Yes,No,No,Not experienced,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
1AVQrD4,oLLWBN,6/3/2025 20:10,recor2j7HvVOzUucZ,10,,,Yes,Yes,No,No,No difficulty,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Am satisfied
QKVN8q8,oLjbgP,6/3/2025 21:02,recPGrSrglxbmBDDu,0,,,No,No,Yes,Yes,Customer support could always lie about the timeframes for a resolution and one customer support representative could tell me this information and the other person would tell me something different about the same issue.,No,"Yes, but I am not satisfied with the MoApp",MoPhones App,Yes,Stop texting me and my contacts that I had set as my referral please don’t text me anymore I don’t have any of your devices so please STOP STOP!!!!
obGLkg5,OMNey7,6/4/2025 2:07,rec4fLoer7gWDErnX,10,,,Yes,Yes,Yes,No,No,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
J9z41GK,z59xpa,6/4/2025 5:01,reclx7h4AdBkijzAN,0,,,No,No,,,,,,,,
VLJ644y,MpPA6A,6/4/2025 7:32,recLk28qj2QkAqNFO,0,,,Yes,No,Yes,Yes,"I finished paying for my phone but still I have to text you guys to unlock my phone,this is not fair I would never think of doing business with you again",Yes,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,Yes,Work on your services!
J9zyBP4,0R4Za0,6/4/2025 19:19,recea4Sx7hZLEdIFA,6,,,Yes,Yes,No,No,No,,,,,
68NXbzY,rMzbpv,6/5/2025 12:28,recSTgLFG5Az2rsX2,7,,,Yes,Yes,Yes,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Grace period
A7LBY4D,W72Zra,6/7/2025 11:41,recVxeICbbG8NQcNV,10,,,Yes,Yes,,,,,,,,
vGyYgql,v9rD4X,6/7/2025 16:20,recN9bsYMaseKqFdr,10,,,Yes,Yes,,,,,,,,
XxWYZ5z,xWaprJ,6/9/2025 12:29,recYNz093h5lvlheF,9,,,Yes,Yes,No,No,No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
yP9EX58,dyxPGd,6/9/2025 12:56,rec33933amrPEBxwf,1,,,,,,,,,,,,
gDMpGYM,BRQeQ4,6/11/2025 12:09,recnvAcLVbHkiU8BA,8,,,Yes,Yes,Yes,No,Late payment of installment,,,,,
Y5WgxP0,aMDJEE,6/11/2025 13:21,recEkNFdl2tdBiiwI,8,,,Yes,Yes,No,No,N/A,No,"No, I have never used it",Self-Service USSD – *789*25044#,No,N/A
A7L0jrN,rZd9L5,6/11/2025 13:21,recejCgf1aysnVEz0,0,,,No,No,Yes,Yes,No,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,Yes,No
VL5d4z6,qMoxrY,6/11/2025 13:21,recleVKREz0KOAWIj,10,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Excellent phone performance
J9AgW0R,KjJ2aD,6/11/2025 13:22,recx026knzpT35v7Q,9,,,Yes,No,Yes,Yes,Customer care been unavailable lately,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,N/A
Y5Wgxg0,V6M7Xg,6/11/2025 13:24,recvuAyE3DcadUAHt,5,,,No,Yes,No,No,"You have restricted alot of apps, they can't be installed",Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Kindly dont limit alot of apps from being installed
KYlgkeM,EOJok2,6/11/2025 13:27,recpSwOAyYwJVr3QJ,10,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Keep it up
Gxdg5go,26J9xp,6/11/2025 13:28,rectYQCibv7qHyvly,0,,,No,No,No,No,,,,,,
LZWgOVp,z6r5E8,6/11/2025 13:37,recU0qivR2lOapJvx,5,,,No,No,Yes,Yes,"I am not happy with the phone that I currently have. It drains power within 2 hours and goes off at 50%
 
 Currently, I don't use the phone. I tried to return the phone and the officer at customer care told to take back the phone and decide of I truly want to return.
 I was very sure returning and I still want to return it..",Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I am return ing the phone
MezgVxg,0yPRb6,6/11/2025 13:46,reczdLK6uUhXkqGOv,5,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
44xqqRo,p27EdJ,6/11/2025 13:54,recEmhLuKhmOsEqGl,0,,,No,No,Yes,Yes,Why not make toll free number for calls?,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,You guys are overcharging second hand phones with faulty batteries.
NpWgv5G,VW65Ma,6/11/2025 14:09,recaVVXq300aFA0IQ,4,,,Yes,No,No,Yes,Requesting for a grace period but Mophone continued to lock my phone even before expiry time,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,NA
VL5daXv,jpbDr9,6/11/2025 14:20,recRUS8soDvvZVj7U,1,,,No,No,No,Yes,"I took a Samsung A16 from mophone which I wasa supposed to pay in an years time but I paid in a months time . The phone had a problem. Switching off all the time. I took the phone to mophone office at pioneer hse in CBD 5 times but no solution was given ,the customer service were so reactant and not helping at all just the usual story the technician is looking at it come after 3 day without sorting the issue. I got fed up and took the phone as a crap now. I regret a lot taking the phone from mo phone. Their is one lady at customer service not all a person of size who is a Muslim she's very rude",No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,I need my phone to be fixed cz it's not helping me when it's off as a crap yet I paid without fail and they couldn't exchange it for me either.
GNjBKz,0yLMo6,6/11/2025 15:39,rectx4v04Pn7ZpRCj,6,,,No,No,No,Yes,My camera are not working clearly,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
zxDvrdq,5Aqvdo,6/11/2025 16:40,rec0TncfzAXEklgam,10,,,Yes,Yes,No,No,The phone I had earlier was faulty but they helped me by doing repairs whenever requested,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
gDMrgaO,jV9JOQ,6/11/2025 17:23,recK99T9KFLD2BP4T,4,,,No,No,Yes,Yes,I used to pay and wait for so long before it opens. Also why did i pay for repair and it should have a warrant,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Why don't it have a warrant
BzklxR7,aMrWDy,6/11/2025 19:59,recbjIEm0ZWc1dUby,0,,,No,No,No,Yes,When ur phone is locked at the wrong time why would it get locked at night and not in the day lol,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,U can't lock my phone without warning me in th8s rought times nonis running perfectly so do t try t9 he perfect in kenya
Pd5e4WP,MxrExg,6/11/2025 22:11,recff2dO9PuTWBiJe,2,,,No,No,Yes,No,Hi,,,,,
RG5lDKP,EObWGL,6/12/2025 0:03,rechz4UzD1zksJCk1,1,,,No,No,No,Yes,Unresponsive and rigid. I had proposed a way to restructure my debt to allow me catch up with arrears in 2 months and finish paying on time but it was never considered. The Arbitrary change to my payment cycle to 5 days is very strenuous for me. I may not be able to sustain it.,Yes,"No, I have never used it",MoPhones App,No,Allow the per day payments. Sometimes I may not be able to raise the weekly rate at once. If I pay let's say 300 I should be able to use the phone for a day. This economy is tough. You need to meet your customers at their point of need to reduce bad debts and delay in payment.
obMY9ae,bJNev0,6/12/2025 7:20,rec8lzQ6mfIpSOFc1,10,,,Yes,Yes,Yes,Yes,No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Appreciate
9qDYY8E,W7Do2e,6/12/2025 13:22,rec8Om3bWXus692vX,6,,,Yes,No,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,
1AlP5pM,XbyOO4,6/15/2025 14:19,recqgB2t7PgMKWG3K,5,,,No,Yes,Yes,No,5,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,1
jay6kVY,V6XeWj,6/16/2025 16:32,recbX3Y887SSjvV76,8,,,Yes,Yes,Yes,No,No,Yes,"No, I have never used it",Free SMS – 25044,No,No
ODzKQJg,9kXVGY,6/22/2025 4:51,recq8JTZDkRIqDczy,10,,,Yes,Yes,Yes,No,Sometimes there is a delay in updating payments,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Thank you guys
pbyPlvP,eOzE50,6/22/2025 12:23,recA2rQH2AIZl8pMU,0,,,No,Yes,,,,,,,,
Meb28Ap,Z7EBxy,6/22/2025 13:07,recPbN2uTHboG9HOd,2,,,No,No,No,Yes,Restrictions on installation of apps,Yes,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,Yes,I think we need to talk
eq6G9dE,JrovLR,6/22/2025 13:13,recqipYF4bAylKqe7,8,,,Yes,Yes,Yes,No,My phone subscription wasn't expired but my phone was switched off . It was turned on immediately after contacting customer service,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,"Apparently my screen is cracked, I haven't dropped my phone or anything falling on the screen"
D4NoW4b,RaL91P,6/22/2025 13:52,recwFJpC7Kev9Xvp8,7,,,No,No,No,No,Not at all though am not happy with the way you limit my phone from any app downloads and updates! I mean how am I suppose to use my phone withouting anything not even just app updates ??,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,You should do away with Admin restrictions app updates and downloads!
eq6Ozpe,vZDpWQ,6/22/2025 19:14,recNzLznisvvtowLL,6,,,Yes,Yes,Yes,No,Over hitting of the phone,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Need a more advanced phone fold z 6 samsung
EkPWXZL,Veo5al,6/26/2025 8:25,recQybtCvt0StsFRM,0,,,Yes,No,Yes,Yes,Staying disconnected for over an hour after payment.,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Na
zxKdWK0,O29dl8,6/30/2025 9:29,recQHdnTM71RBvtBP,5,,,Yes,Yes,No,No,No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
2EkvXg9,k2GGLM,7/7/2025 13:14,recVMuTRxFv1b3fem,0,,,No,Yes,No,No,Phone batteries plus I thought the sim are twin sim,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
68kvLge,xADJXJ,7/7/2025 13:15,recE4V74H1Q9BSUkE,9,,,Yes,Yes,No,No,Have never had any difficulty,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
aQxEe2X,4M7K2r,7/7/2025 13:15,rect8uN5dUb2OFWJb,10,,,Yes,Yes,Yes,No,NA,No,"No, I have never used it",Free SMS – 25044,No,Give notifications when phone would be locked
kdAW9ZR,JQlODR,7/7/2025 13:16,recpC1jwMf86Op87s,10,,,Yes,Yes,Yes,No,The app sometimes hubg,No,"Yes, but I am not satisfied with the MoApp",Self-Service USSD – *789*25044#,Yes,The app related problem
Ek1D5yX,7yKNra,7/7/2025 13:18,reccXaRYHRU6AdvB7,10,,,Yes,Yes,No,No,N/A,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
J9RDp9J,26V7Jp,7/7/2025 13:19,recySBj5LMm5ocNa1,9,,,Yes,Yes,Yes,No,Non,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Non
KYoDeNg,vlDPp8,7/7/2025 13:20,recM4Vd6krdMSFG1P,2,,,No,No,No,No,"-Restricting the installation of what you call 'third party apps' is not a wise move. Now one has to make trips to Nairobi for the same apps to be installed from your end.
 -The phone locking even before the due date is not wise at all. Why should the app",No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
aQxE59E,4M7KZY,7/7/2025 13:20,rec71qAxHPOhUDF6B,5,,,No,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,The phone has some issues that I'll have to visit your office
pbAWy7B,E2lW5o,7/7/2025 13:20,rec8Q3PCjeYssivzX,9,,,Yes,Yes,No,No,I have never faced any challenges,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
Gx1D9k2,RAoP4v,7/7/2025 13:20,recY3UIBuhdi5hpLL,1,,,No,No,,,,,,,,
kdAW9oR,gEq9VJ,7/7/2025 13:21,recEC6jOo7uJHUqzY,0,,,No,No,Yes,Yes,Nilichukua simu juzi Mara inahug haiwezi kaa n charger one day huezi iweka off,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,My 4n iko n shida
LZGY7Xl,VKPJGa,7/7/2025 13:21,recGku9qtHqRdZYJ3,3,,,No,No,No,"No, I have never looked for customer care",N/a,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,The phone is hanging I don't know what's going on
VLlYj4E,xADJRo,7/7/2025 13:21,recNaKFOXuzGU0Ahw,10,,,Yes,Yes,No,No,I have not experienced any challenges by now,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,I may have feedback later
A7JD2yk,5J9xzb,7/7/2025 13:21,recw9J25WNvk4UER5,10,,,Yes,Yes,Yes,Yes,Called in and no one picked up,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,General is all good
J9RDpNR,1L4V6p,7/7/2025 13:22,reccuqNSNJkM6eeAc,8,,,Yes,Yes,,,,,,,,
KYoD5eK,4M7K5Y,7/7/2025 13:23,recrLW0dGfe76GEQ6,7,,,Yes,Yes,Yes,Yes,Timely response,Yes,"No, I have never used it",Reach Out via a Sales Agent,No,Sometimes issue to do with cellular network
44kvJGb,GZplrQ,7/7/2025 13:23,recZjfwCZsseAOYYQ,4,,,No,Yes,No,No,None,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,Loving the experience eith mo but the phone a bit disappointed
Bz1DdvR,E2lWZr,7/7/2025 13:23,recbZMzHZkzzSZyCv,9,,,Yes,Yes,No,No,Nun,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Does Galaxy note 20 have dual sim
NpVYX40,ZMOaM5,7/7/2025 13:23,rechi2DELxf72sRnN,8,,,,,,,,,,,,
5BkvjAN,oqRGlx,7/7/2025 13:24,rec6ySPxPhQmuBCKP,8,,,Yes,Yes,Yes,Yes,Long time to respond,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,Yes,Later as I monitor the phone
